feat 0 | feat 1 | feat 2 | feat 3 | feat 4 | visited | brake | releasebrake | 
79,51 | 0 | 0 | 4,1 | 0 | 2 | 0 | 3,75 | 
80,51 | 0 | 0 | 4,2 | 0 | 2 | 4,5 | 0 | 
81,51 | 0 | 0 | 4,3 | 0 | 2 | 5,25 | 0 | 
82,51 | 0 | 0 | 4,4 | 0 | 2 | 6,0 | 0 | 
83,51 | 0 | 0 | 4,5 | 0 | 2 | 6,75 | 0 | 
84,51 | 0 | 0 | 4,6 | 0 | 2 | 7,0 | 0 | 
85,51 | 0 | 0 | 4,7 | 0 | 2 | 4,25 | 5,0 | 
86,51 | 0 | 0 | 4,8 | 0 | 2 | 0 | 3,5 | 
86,51 | 0 | 0 | 4,9 | 0 | 1 | 5000,0 | 0 | 
65,51 | 0 | 0 | 3,3 | 1 | 73 | 0 | 0 | 
79,51 | 0 | 0 | 4,8 | 0 | 237 | 10001,7 | 10002,66 | 
79,51 | 0 | 0 | 4,9 | 0 | 237 | 9998,78 | 10000,0 | 
79,51 | 0 | 0 | 5,0 | 1 | 277 | 0 | 0 | 
54,51 | 0 | 0 | 1,7 | 0 | 2 | 2,25 | 0 | 
55,51 | 0 | 0 | 1,8 | 0 | 2 | 2,0 | 1,5 | 
56,51 | 0 | 0 | 1,9 | 0 | 2 | 3,25 | 0 | 
57,51 | 0 | 0 | 2,0 | 0 | 2 | 4,0 | 0 | 
58,51 | 0 | 0 | 2,1 | 0 | 2 | 4,75 | 0 | 
59,51 | 0 | 0 | 2,2 | 0 | 2 | 5,5 | 0 | 
60,51 | 0 | 0 | 2,3 | 0 | 2 | 6,25 | 0 | 
61,51 | 0 | 0 | 2,4 | 0 | 2 | 6,5 | 0 | 
62,51 | 0 | 0 | 2,5 | 0 | 2 | 0 | 6,25 | 
63,51 | 0 | 0 | 2,6 | 0 | 2 | 7,0 | 0 | 
64,51 | 0 | 0 | 2,7 | 0 | 2 | 5,5 | 4,5 | 
65,51 | 0 | 0 | 2,8 | 0 | 2 | 8,0 | 0 | 
66,51 | 0 | 0 | 2,9 | 0 | 2 | 8,25 | 0 | 
67,51 | 0 | 0 | 3,0 | 0 | 2 | 0 | 8,0 | 
68,51 | 0 | 0 | 3,1 | 0 | 2 | 8,25 | 0 | 
69,51 | 0 | 0 | 3,2 | 0 | 2 | 0 | 8,0 | 
70,51 | 0 | 0 | 3,3 | 0 | 2 | 6,5 | 3,53 | 
71,51 | 0 | 0 | 3,4 | 0 | 2 | 3,5 | 0 | 
87,51 | 0 | 0 | 4,9 | 0 | 1 | 10000,0 | 0 | 
88,51 | 0 | 0 | 5,0 | 1 | 1 | 0 | 0 | 
72,51 | 0 | 0 | 3,5 | 0 | 1 | 4,0 | 0 | 
73,51 | 0 | 0 | 3,6 | 0 | 1 | 4,5 | 0 | 
74,51 | 0 | 0 | 3,7 | 0 | 1 | 5,0 | 0 | 
75,51 | 0 | 0 | 3,8 | 0 | 1 | 5,5 | 0 | 
76,51 | 0 | 0 | 3,9 | 0 | 1 | 6,0 | 0 | 
77,51 | 0 | 0 | 4,0 | 0 | 1 | 6,5 | 0 | 
78,51 | 0 | 0 | 4,1 | 0 | 1 | 689,36 | 0 | 
