feat 0 | feat 1 | feat 2 | feat 3 | feat 4 | brake | releasebrake | Q | 
44.51 | 0 | 0 | 1.3 | 0 | 0 | 1 | -11590.43 | 
45.51 | 0 | 0 | 1.4 | 0 | 1 | 0 | -12129.41 | 
45.51 | 0 | 0 | 1.4 | 0 | 0 | 1 | -11669.45 | 
46.51 | 0 | 0 | 1.5 | 0 | 1 | 0 | -11705.1 | 
46.51 | 0 | 0 | 1.5 | 0 | 0 | 1 | -11710.75 | 
47.51 | 0 | 0 | 1.6 | 0 | 1 | 0 | -11825.0 | 
47.51 | 0 | 0 | 1.6 | 0 | 0 | 1 | -11724.79 | 
48.51 | 0 | 0 | 1.7 | 0 | 1 | 0 | -11398.36 | 
48.51 | 0 | 0 | 1.7 | 0 | 0 | 1 | -12479.49 | 
49.51 | 0 | 0 | 1.8 | 0 | 1 | 0 | -13517.73 | 
49.51 | 0 | 0 | 1.8 | 0 | 0 | 1 | -10594.16 | 
50.51 | 0 | 0 | 1.9 | 0 | 1 | 0 | -11330.16 | 
50.51 | 0 | 0 | 1.9 | 0 | 0 | 1 | -9898.2 | 
51.51 | 0 | 0 | 2.0 | 0 | 1 | 0 | -10002.48 | 
51.51 | 0 | 0 | 2.0 | 0 | 0 | 1 | -9348.92 | 
53.51 | 0 | 0 | 2.3 | 0 | 1 | 0 | -9405.65 | 
53.51 | 0 | 0 | 2.3 | 0 | 0 | 1 | -6736.17 | 
53.51 | 0 | 0 | 2.4 | 0 | 1 | 0 | -6672.6 | 
53.51 | 0 | 0 | 2.4 | 0 | 0 | 1 | -9415.73 | 
53.51 | 0 | 0 | 2.5 | 1 | 1 | 0 | 0 | 
53.51 | 0 | 0 | 2.5 | 1 | 0 | 1 | 0 | 
53.51 | 0 | 0 | 2.0 | 0 | 1 | 0 | -6264.02 | 
53.51 | 0 | 0 | 2.0 | 0 | 0 | 1 | -1253.75 | 
54.51 | 0 | 0 | 2.1 | 0 | 1 | 0 | -5382.52 | 
54.51 | 0 | 0 | 2.1 | 0 | 0 | 1 | -1271.42 | 
55.51 | 0 | 0 | 2.2 | 0 | 1 | 0 | -1287.96 | 
55.51 | 0 | 0 | 2.2 | 0 | 0 | 1 | -4641.45 | 
56.51 | 0 | 0 | 2.3 | 0 | 1 | 0 | -1303.11 | 
56.51 | 0 | 0 | 2.3 | 0 | 0 | 1 | -5097.59 | 
57.51 | 0 | 0 | 2.4 | 0 | 1 | 0 | -3197.11 | 
57.51 | 0 | 0 | 2.4 | 0 | 0 | 1 | -1316.14 | 
58.51 | 0 | 0 | 2.5 | 0 | 1 | 0 | -1326.01 | 
58.51 | 0 | 0 | 2.5 | 0 | 0 | 1 | -2173.61 | 
58.51 | 0 | 0 | 2.6 | 0 | 1 | 0 | -3781.88 | 
58.51 | 0 | 0 | 2.6 | 0 | 0 | 1 | -3023.47 | 
58.51 | 0 | 0 | 2.7 | 0 | 1 | 0 | -2884.96 | 
58.51 | 0 | 0 | 2.7 | 0 | 0 | 1 | -4546.34 | 
58.51 | 0 | 0 | 2.8 | 1 | 1 | 0 | 0 | 
58.51 | 0 | 0 | 2.8 | 1 | 0 | 1 | 0 | 
53.51 | 0 | 0 | 2.1 | 0 | 1 | 0 | -8784.45 | 
53.51 | 0 | 0 | 2.1 | 0 | 0 | 1 | -8026.67 | 
53.51 | 0 | 0 | 2.2 | 0 | 1 | 0 | -7409.12 | 
53.51 | 0 | 0 | 2.2 | 0 | 0 | 1 | -8861.18 | 
56.51 | 0 | 0 | 2.4 | 0 | 1 | 0 | -4969.98 | 
56.51 | 0 | 0 | 2.4 | 0 | 0 | 1 | -5567.85 | 
56.51 | 0 | 0 | 2.5 | 0 | 1 | 0 | -5712.47 | 
56.51 | 0 | 0 | 2.5 | 0 | 0 | 1 | -4997.68 | 
56.51 | 0 | 0 | 2.6 | 0 | 1 | 0 | -6542.24 | 
56.51 | 0 | 0 | 2.6 | 0 | 0 | 1 | -4989.57 | 
56.51 | 0 | 0 | 2.7 | 1 | 1 | 0 | 0 | 
56.51 | 0 | 0 | 2.7 | 1 | 0 | 1 | 0 | 
39.51 | 0 | 0 | 0.7 | 0 | 1 | 0 | -9641.8 | 
39.51 | 0 | 0 | 0.7 | 0 | 0 | 1 | -9713.49 | 
40.51 | 0 | 0 | 0.8 | 0 | 1 | 0 | -9737.55 | 
40.51 | 0 | 0 | 0.8 | 0 | 0 | 1 | -9991.53 | 
41.51 | 0 | 0 | 0.9 | 0 | 1 | 0 | -9809.99 | 
41.51 | 0 | 0 | 0.9 | 0 | 0 | 1 | -9805.68 | 
42.51 | 0 | 0 | 1.0 | 0 | 1 | 0 | -9891.39 | 
42.51 | 0 | 0 | 1.0 | 0 | 0 | 1 | -9907.71 | 
43.51 | 0 | 0 | 1.1 | 0 | 1 | 0 | -10021.01 | 
43.51 | 0 | 0 | 1.1 | 0 | 0 | 1 | -10042.51 | 
44.51 | 0 | 0 | 1.2 | 0 | 1 | 0 | -10190.12 | 
44.51 | 0 | 0 | 1.2 | 0 | 0 | 1 | -10211.98 | 
45.51 | 0 | 0 | 1.3 | 0 | 1 | 0 | -10390.37 | 
45.51 | 0 | 0 | 1.3 | 0 | 0 | 1 | -10426.26 | 
46.51 | 0 | 0 | 1.4 | 0 | 1 | 0 | -10731.73 | 
46.51 | 0 | 0 | 1.4 | 0 | 0 | 1 | -10680.67 | 
47.51 | 0 | 0 | 1.5 | 0 | 1 | 0 | -11073.75 | 
47.51 | 0 | 0 | 1.5 | 0 | 0 | 1 | -11051.98 | 
48.51 | 0 | 0 | 1.6 | 0 | 1 | 0 | -11446.35 | 
48.51 | 0 | 0 | 1.6 | 0 | 0 | 1 | -11098.89 | 
49.51 | 0 | 0 | 1.7 | 0 | 1 | 0 | -10654.92 | 
49.51 | 0 | 0 | 1.7 | 0 | 0 | 1 | -12277.52 | 
50.51 | 0 | 0 | 1.8 | 0 | 1 | 0 | -9870.73 | 
50.51 | 0 | 0 | 1.8 | 0 | 0 | 1 | -9239.03 | 
51.51 | 0 | 0 | 1.9 | 0 | 1 | 0 | -9099.71 | 
51.51 | 0 | 0 | 1.9 | 0 | 0 | 1 | -9544.03 | 
51.51 | 0 | 0 | 2.1 | 0 | 1 | 0 | -9022.25 | 
51.51 | 0 | 0 | 2.1 | 0 | 0 | 1 | -7922.53 | 
51.51 | 0 | 0 | 2.2 | 0 | 1 | 0 | -9955.28 | 
51.51 | 0 | 0 | 2.2 | 0 | 0 | 1 | -8259.09 | 
51.51 | 0 | 0 | 2.3 | 0 | 1 | 0 | -9158.26 | 
51.51 | 0 | 0 | 2.3 | 0 | 0 | 1 | -10656.53 | 
51.51 | 0 | 0 | 2.4 | 1 | 1 | 0 | 0 | 
51.51 | 0 | 0 | 2.4 | 1 | 0 | 1 | 0 | 
57.51 | 0 | 0 | 2.5 | 0 | 1 | 0 | -3998.77 | 
57.51 | 0 | 0 | 2.5 | 0 | 0 | 1 | -5308.79 | 
57.51 | 0 | 0 | 2.6 | 0 | 1 | 0 | -4179.42 | 
57.51 | 0 | 0 | 2.6 | 0 | 0 | 1 | -5830.2 | 
57.51 | 0 | 0 | 2.7 | 1 | 1 | 0 | 0 | 
57.51 | 0 | 0 | 2.7 | 1 | 0 | 1 | 0 | 
36.51 | 0 | 0 | 0.6 | 0 | 1 | 0 | -19464.41 | 
36.51 | 0 | 0 | 0.6 | 0 | 0 | 1 | -19453.2 | 
37.51 | 0 | 0 | 0.7 | 0 | 1 | 0 | -19599.88 | 
37.51 | 0 | 0 | 0.7 | 0 | 0 | 1 | -19589.21 | 
38.51 | 0 | 0 | 0.8 | 0 | 1 | 0 | -19713.85 | 
38.51 | 0 | 0 | 0.8 | 0 | 0 | 1 | -19720.32 | 
39.51 | 0 | 0 | 0.9 | 0 | 1 | 0 | -19792.44 | 
39.51 | 0 | 0 | 0.9 | 0 | 0 | 1 | -19792.61 | 
40.51 | 0 | 0 | 1.0 | 0 | 1 | 0 | -19833.99 | 
40.51 | 0 | 0 | 1.0 | 0 | 0 | 1 | -19810.57 | 
41.51 | 0 | 0 | 1.1 | 0 | 1 | 0 | -19820.26 | 
41.51 | 0 | 0 | 1.1 | 0 | 0 | 1 | -19893.9 | 
42.51 | 0 | 0 | 1.2 | 0 | 1 | 0 | -19857.97 | 
42.51 | 0 | 0 | 1.2 | 0 | 0 | 1 | -19897.8 | 
